study_ind,arm_ind,abstract_id,compound,treat,n,y,se,base,weeks,Phase,study,source,comments
22,6,2636-P,,Placebo (PBO),,-3.61,,,18,Phase 2b,ENLIGHT,abstract,"BW
  change (%) was -3.61; BW change (kg) was -2.88; proportion achieving >=5% weight loss was 26.8%;
  WC decreased by -4.35 cm.; Percent
  change in body weight (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
22,7,2636-P,,"Efsubaglutide alfa (Suba) 5 mg once weekly
  (QW)",,-7.95,,,18,Phase 2b,ENLIGHT,abstract,"BW change (%) was -7.95; BW
  change (kg) was -6.73; proportion achieving >=5% weight loss was 75.6%.; Percent
  change in body weight (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
22,8,2636-P,,"Efsubaglutide
  alfa (Suba) 10 mg once weekly
  (QW)",,-9.99,,,18,Phase 2b,ENLIGHT,abstract,"BW change (%) was -9.99; BW
  change (kg) was -8.59; proportion achieving >=5% weight loss was 78.0%; text notes 20 mg Q2W
  comparable with 10 mg QW.; Percent
  change in body weight (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
22,9,2636-P,,"Efsubaglutide alfa (Suba) 20 mg once weekly
  (QW)",,-10.58,,,18,Phase 2b,ENLIGHT,abstract,"BW change (%) was -10.58; BW
  change (kg) was -9.22; proportion achieving >=5% weight loss was 81.6%.; Percent
  change in body weight (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
22,10,2636-P,,"Efsubaglutide
  alfa (Suba) 20 mg once every 2 weeks
  (Q2W)",,-9.7,,,18,Phase 2b,ENLIGHT,abstract,"BW change (%) was -9.70; BW
  change (kg) was -8.48; proportion achieving >=5% weight loss was 73.7%; text notes 20 mg Q2W
  comparable with 10 mg QW.; Percent
  change in body weight (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
23,1,2637-P,,"Aleniglipron 120
  mg",,-13.1,,,36,,2637-P,figure,"LS mean % change in body weight;
  95% CI (-16.8, -9.4).; Percent
   change in body weight from baseline (LS mean).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
23,2,2637-P,,"Aleniglipron 180
  mg",,-13.3,,,36,,2637-P,figure,"LS mean % change in body weight;
  95% CI (-16.6, -10.0).; Percent
   change in body weight from baseline (LS mean).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
23,3,2637-P,,"Aleniglipron 240
  mg",,-14.2,,,36,,2637-P,figure,"LS mean % change in body weight;
  95% CI (-17.7,
  -10.8).; Percent
   change in body weight from baseline (LS mean).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
23,4,2637-P,,Placebo,,1,,,36,,2637-P,figure,"LS mean %
  change in body weight; 95% CI (-2.4, 4.5).; Percent
   change in body weight from baseline (LS mean).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
23,5,2637-P,,"aleniglipron 120 mg once
  daily",,-14.1,,,36,"Phase
  2",ACCESS II,abstract,"Placebo-adjusted mean
  body-weight reduction; 95% CI -19.0 to -9.3.; Body weight reduction (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
23,6,2637-P,,"aleniglipron 180 mg once
  daily",,-14.4,,,36,"Phase
  2",ACCESS II,abstract,"Placebo-adjusted mean
  body-weight reduction; 95% CI -19.1 to -9.6.; Body weight reduction (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
23,7,2637-P,,"aleniglipron 240 mg once
  daily",,-15.3,,,36,"Phase
  2",ACCESS II,abstract,"Placebo-adjusted mean
  body-weight reduction; 95% CI -20.1 to -10.4.; Body weight reduction (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
24,1,2649-P,Semaglutide,"Sema + trevo 400 mg + gareto vs.
  Sema",,,,,,,2649-P,figure,"Cohen's D vs Sema shown for
  two endpoints and two metrics. Approx point estimates from plot: Total Fat Mass (blue z-score)
  ~-1.6, (red % change) ~-0.9; Total Lean Mass (blue z-score) ~1.7, (red % change) ~1.1. 95% CI bars
   shown but not numerically labeled.; Cohen's D standardized mean difference
  compared to Sema for total fat mass and total lean mass (z-score change-from-baseline and percent
  change-from-baseline).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2649-P/168277/2649-P-Population-Normed-Z-scores-for-Body"
24,2,2649-P,Semaglutide,"Sema + trevo 400 mg vs.
  Sema",,,,,,,2649-P,figure,"Approx point estimates from
  plot: Total Fat Mass (blue z-score) ~-0.7, (red % change) ~-0.3; Total Lean Mass (blue z-score)
  ~0.7, (red % change) ~0.5. 95% CI bars shown but not numerically labeled.; Cohen's D standardized mean difference
  compared to Sema for total fat mass and total lean mass (z-score change-from-baseline and percent
  change-from-baseline).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2649-P/168277/2649-P-Population-Normed-Z-scores-for-Body"
24,3,2649-P,Semaglutide,"Sema + trevo
   200 mg vs. Sema",,,,,,,2649-P,figure,"Approx point
  estimates from plot: Total Fat Mass (blue z-score) ~-0.7, (red % change) ~-0.1; Total Lean Mass
  (blue z-score) ~0.6, (red % change) ~0.6. 95% CI bars shown but not numerically
  labeled.; Cohen's D standardized mean difference
  compared to Sema for total fat mass and total lean mass (z-score change-from-baseline and percent
  change-from-baseline).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2649-P/168277/2649-P-Population-Normed-Z-scores-for-Body"
25,1,2835-LB,Semaglutide,"Oral semaglutide 14
  mg",,,,,,,2835-LB,figure,"Estimated odds (reference arm)
  shown for each composite endpoint. 26 weeks: 0.05 (A1C <=6.5% & weight loss >=10%), 0.18 (A1C
  <=6.5% & weight loss >=5%), 0.06 (A1C <7.0% & weight loss >=10%), 0.30 (A1C <7.0% & weight loss
  >=5%). 52 weeks: 0.07, 0.19, 0.10, 0.30 for the same endpoint order.; Estimated
  odds of achieving composite efficacy endpoints (A1C <=6.5% or <7.0% combined with weight loss >=5%
   or >=10%) at 26 and 52 weeks.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2835-LB/167250/2835-LB-Greater-Combined-A1C-Reductions-and-Weight"
25,2,2835-LB,Semaglutide,"Oral semaglutide
  25 mg",,,,,,,2835-LB,figure,"Estimated odds shown versus
  14 mg comparator. 26 weeks: 0.16, 0.37, 0.18, 0.52 (same endpoint order as figure rows). EOR vs 14
   mg: 2.95 (1.89, 4.60), 2.08 (1.53, 2.84), 2.83 (1.85, 4.32), 1.75 (1.32, 2.31); all P<0.0001. 52
  weeks: 0.23, 0.41, 0.26, 0.57; EOR vs 14 mg: 3.13 (2.10, 4.67), 2.15 (1.59, 2.91), 2.73 (1.89,
  3.95), 1.88 (1.43, 2.48); all P<0.0001.; Estimated
  odds of achieving composite efficacy endpoints (A1C <=6.5% or <7.0% combined with weight loss >=5%
   or >=10%) at 26 and 52 weeks.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2835-LB/167250/2835-LB-Greater-Combined-A1C-Reductions-and-Weight"
25,3,2835-LB,Semaglutide,"Oral semaglutide 50
  mg",,,,,,,2835-LB,figure,"Estimated odds shown versus 14
  mg comparator. 26 weeks: 0.21, 0.57, 0.24, 0.91 (same endpoint order as figure rows). EOR vs 14
  mg: 3.89 (2.52, 6.00), 3.24 (2.40, 4.38), 3.75 (2.49, 5.66), 3.08 (2.35, 4.05); all P<0.0001. 52
  weeks: 0.36, 0.70, 0.44, 0.97; EOR vs 14 mg: 5.00 (3.40, 7.36), 3.69 (2.75, 4.95), 4.60 (3.22,
  6.55), 3.24 (2.47, 4.26); all P<0.0001.; Estimated
  odds of achieving composite efficacy endpoints (A1C <=6.5% or <7.0% combined with weight loss >=5%
   or >=10%) at 26 and 52 weeks.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2835-LB/167250/2835-LB-Greater-Combined-A1C-Reductions-and-Weight"
26,1,1218-OR,HDM1002,"HDM1002 50 mg
  QD",,-1.06,,,12,2,1218-OR,abstract,"Least-squares mean change from
  baseline in HbA1c (%). Statistically significant vs placebo (P < 0.05).; Change from baseline in HbA1c (%) at
   12 weeks (LS mean); additional body weight change (kg) reported for 400 mg QD vs
  placebo.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198/1218-OR-Efficacy-and-Safety-of-a-Novel-Oral-Small"
26,2,1218-OR,HDM1002,"HDM1002 100 mg
   QD",,-0.82,,,12,2,1218-OR,abstract,"Least-squares mean change from
  baseline in HbA1c (%). Statistically significant vs placebo (P < 0.05).; Change from baseline in HbA1c (%) at
   12 weeks (LS mean); additional body weight change (kg) reported for 400 mg QD vs
  placebo.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198/1218-OR-Efficacy-and-Safety-of-a-Novel-Oral-Small"
26,3,1218-OR,HDM1002,"HDM1002 200 mg
   QD",,-0.94,,,12,2,1218-OR,abstract,"Least-squares mean change from
  baseline in HbA1c (%). Subgroup reductions: 1.60% (diet/exercise-failing) and 0.76%
  (metformin-failing). Statistically significant vs placebo (P < 0.05).; Change from baseline in HbA1c (%) at
   12 weeks (LS mean); additional body weight change (kg) reported for 400 mg QD vs
  placebo.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198/1218-OR-Efficacy-and-Safety-of-a-Novel-Oral-Small"
26,4,1218-OR,HDM1002,"HDM1002 400 mg
  QD",,-1.29,,,12,2,1218-OR,abstract,"Least-squares mean change from
  baseline in HbA1c (%). Subgroup reductions: 1.90% (diet/exercise-failing) and 1.11%
  (metformin-failing). Also reported body weight change at 12 weeks: -2.14 kg.; Change from baseline in HbA1c (%) at
   12 weeks (LS mean); additional body weight change (kg) reported for 400 mg QD vs
  placebo.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198/1218-OR-Efficacy-and-Safety-of-a-Novel-Oral-Small"
26,5,1218-OR,HDM1002,"HDM1002
  200 mg BID (total 400 mg/day, open-label
  cohort)",26,-1.23,,,12,2,1218-OR,abstract,"Least-squares mean change from
   baseline in HbA1c (%).; Change from baseline in HbA1c (%) at
   12 weeks (LS mean); additional body weight change (kg) reported for 400 mg QD vs
  placebo.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198/1218-OR-Efficacy-and-Safety-of-a-Novel-Oral-Small"
26,6,1218-OR,HDM1002,"Placebo
  (PBO)",,-0.78,,,12,2,1218-OR,abstract,"Least-squares mean percentage
  change in body weight reported as -0.78 kg at 12 weeks; no arm-level HbA1c numeric value reported
  for placebo.; Change from baseline in HbA1c (%) at
   12 weeks (LS mean); additional body weight change (kg) reported for 400 mg QD vs
  placebo.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1218-OR/167198/1218-OR-Efficacy-and-Safety-of-a-Novel-Oral-Small"
27,1,1683-P,Tirzepatide,"Tirzepatide (combined dose groups across randomized
  trials)",6357,0.58,,,,"Phase 2/3 trials (pooled in
  meta-analysis)",1683-P,abstract,"Reported fractures:
  37/6,357 (0.58%); pooled comparison vs control: Peto OR 1.84 (95% CI 1.02-3.31),
  p=0.04.; Fracture incidence (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1683-P/167716/1683-P-Fracture-Risk-Associated-with-Tirzepatide-A"
27,2,1683-P,Tirzepatide,"Control groups (across randomized
  trials)",3883,0.33,,,,"Phase 2/3 trials (pooled in
  meta-analysis)",1683-P,abstract,"Reported fractures:
  13/3,883 (0.33%).; Fracture incidence (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1683-P/167716/1683-P-Fracture-Risk-Associated-with-Tirzepatide-A"
